first Name,last Name,age,english,overseas_employment,australia_employment,qualifications,australia_study,specialist_qualification,credentialled,study_regional,partner,professional_year,visa
Jacenta,Martsen,0,1,1,2,0,0,1,0,0,2,1,3
Ermengarde,Dimitris,1,0,2,3,4,0,1,0,0,0,0,3
Ruthe,Leffen,4,3,0,3,1,1,1,0,1,0,1,2
Stacey,Greyson,1,2,1,0,2,0,1,0,1,3,0,2
Nannie,Lowry,2,2,2,3,3,0,1,0,0,2,0,0
Lulita,Barney,4,1,2,0,2,0,0,0,1,3,1,1
Lanae,Redmond,3,2,0,4,4,0,1,1,0,1,1,2
Mariann,Palocz,0,3,1,2,0,1,1,1,0,0,1,2
Nannie,Hanshaw,0,3,1,4,3,0,1,0,0,2,1,2
Dagmar,Yam,3,1,1,1,2,1,1,1,1,2,1,1
Gisela,Wiener,1,3,0,1,0,1,1,1,0,3,0,3
Kara-Lynn,Tristram,1,2,2,1,0,1,0,1,1,2,0,3
Frank,Rese,2,0,2,2,3,0,0,1,1,2,1,0
Sidoney,Blisse,0,3,0,0,1,1,1,1,0,1,0,1
Malina,Mich,3,2,1,4,4,0,0,1,1,3,0,0
Christy,Anestassia,0,2,1,4,3,0,0,1,0,0,0,1
Gisela,Hamil,2,3,2,4,3,1,1,1,1,0,0,2
Di,Cynar,1,3,2,3,3,0,0,0,0,1,1,0
Sue,Eachern,1,0,0,3,1,1,0,0,0,0,1,1
Max,Kunin,1,2,3,1,0,0,1,0,1,2,1,3
Kate,Odell,1,0,2,4,3,1,0,0,0,3,1,1
Anica,Alfons,1,2,1,2,1,0,1,1,0,3,1,3
Thalia,Hashim,4,1,0,2,4,0,1,0,1,2,0,0
Olwen,Bord,0,0,3,3,2,0,1,0,0,3,0,3
Briney,Tound,2,3,3,2,4,0,1,1,1,3,1,3
Aeriela,Chauncey,2,1,1,1,3,0,0,0,1,3,0,0
Ernesta,Cornelia,2,3,1,1,0,1,1,1,0,1,1,2
Fanchon,Morehouse,4,3,0,2,1,0,0,1,0,0,0,0
Talya,Ludewig,2,2,0,4,4,1,1,1,0,0,1,0
Brietta,Deegan,2,0,0,3,0,1,1,1,0,1,0,0
Cissiee,Corrine,4,3,2,4,1,1,0,0,0,0,1,0
Mignon,Joeann,1,1,2,4,4,0,1,0,0,1,0,2
Jolyn,Kat,3,3,3,1,2,0,1,0,0,0,1,2
Konstance,Trace,4,2,1,3,1,1,1,0,0,1,1,3
Nelle,Colyer,0,0,0,1,4,1,1,0,1,2,0,2
Layla,Wenoa,2,2,1,0,3,0,0,0,1,3,0,2
Gaylene,Callista,1,2,3,0,0,0,0,1,0,1,0,3
Paule,Tufts,0,2,3,0,4,1,1,0,0,3,1,1
Cissiee,Lipson,2,3,3,0,4,1,0,0,0,0,0,3
Justinn,Fairweather,0,3,2,0,3,0,1,0,0,1,0,1
Pierette,Saint,0,0,1,4,2,1,0,0,1,0,0,1
Cissiee,O'Carroll,1,1,2,1,2,1,1,1,0,2,1,1
Gianina,Harned,3,1,2,2,3,0,0,1,0,2,0,0
Lorie,Cavan,0,3,2,4,4,0,1,1,0,1,0,3
Celene,Travax,3,3,3,3,1,1,0,0,0,2,0,3
Ana,McCutcheon,3,3,3,3,2,1,0,1,1,3,1,1
Chickie,Tryck,2,1,1,1,1,1,1,1,1,1,1,1
Hallie,Bach,0,1,1,2,4,1,1,0,1,0,0,0
Darci,Aaberg,0,3,0,1,0,0,0,0,1,0,1,1
Diena,Vastah,2,0,3,4,3,0,1,1,0,3,0,1
Gertrud,Belldas,0,3,0,2,1,1,0,1,0,3,1,3
Lynea,Malina,3,0,2,4,2,1,1,1,0,0,0,3
Rori,Liebermann,0,0,2,0,3,0,1,0,0,1,0,3
Corry,Allare,2,2,2,2,1,1,1,1,1,1,0,3
Genevra,Bartlett,0,2,2,1,0,0,0,1,1,2,1,0
Margette,Atcliffe,1,3,2,4,3,0,1,1,0,3,0,1
Brianna,Goth,2,0,3,3,3,1,0,0,1,0,1,1
Alyssa,Hessler,2,1,0,0,4,1,0,1,0,1,1,2
Agathe,Ludewig,1,2,3,1,1,0,1,0,1,0,0,1
Jemie,Federica,3,2,3,0,1,0,1,1,1,3,0,1
Livvyy,Marlie,4,3,2,3,1,1,1,1,0,1,0,1
Aigneis,Edmund,3,3,2,2,4,0,1,1,0,3,1,1
Gratia,Rosette,1,1,2,2,0,1,0,0,0,1,0,0
Morganica,Frendel,1,0,2,0,0,1,1,1,1,0,1,0
Fanny,Smitt,3,3,2,2,0,1,0,0,0,0,1,3
Donetta,Trey,1,0,2,2,4,0,0,0,0,0,1,2
Sean,Santoro,4,2,2,2,4,0,0,1,1,3,0,3
Barbi,Zitvaa,3,1,1,2,4,0,0,0,1,1,1,1
Bobinette,Terrence,1,3,0,3,2,0,0,0,1,2,1,3
Daune,Ariella,2,2,0,3,4,1,1,1,1,0,1,0
Myrtice,Janene,1,2,0,2,2,0,1,0,1,1,1,3
Charlena,Philipp,1,0,1,3,0,1,1,1,0,1,0,3
Kylynn,Christine,0,2,1,2,1,1,0,1,0,2,1,2
Lorne,Braun,0,3,2,0,4,0,1,0,1,0,1,0
Bobbi,Huggins,3,3,2,2,4,0,1,1,0,3,0,3
Ulrike,Chesna,2,1,1,3,3,0,1,0,0,2,1,2
Deirdre,Therine,2,2,0,0,1,0,1,1,1,3,0,3
Augustine,Janene,2,0,1,2,1,0,0,0,0,1,1,0
Perry,Gilbertson,3,1,1,2,1,1,0,0,1,3,1,2
Iseabal,Corabella,1,1,0,0,4,0,1,1,0,0,1,1
Ana,Cassius,4,2,3,3,2,1,1,0,0,1,0,2
Iseabal,Verger,1,3,1,1,1,1,1,0,0,1,0,2
Sissy,Kristi,3,1,0,4,2,0,1,1,0,3,0,3
Celestyna,Faust,1,1,1,4,3,1,0,1,1,2,1,2
Shirlee,Stelle,1,1,0,3,0,0,0,1,1,1,1,2
Iseabal,Gaal,2,2,3,1,4,0,0,0,0,1,1,3
Ruthe,Kirbee,4,2,0,3,1,0,0,1,1,1,0,0
Sabina,Toor,2,3,1,1,3,1,1,0,0,0,0,2
Georgetta,Eno,1,2,2,3,3,0,1,1,1,1,1,2
Tani,Thornburg,2,0,0,0,3,1,0,0,1,3,0,3
Olivette,Ade,3,0,1,1,4,1,0,1,0,2,0,3
Ann-Marie,Leffen,4,0,0,2,4,1,0,0,1,0,1,2
Ginnie,Christal,1,0,3,3,1,1,0,0,0,3,0,0
Shaine,Manolo,0,3,2,4,1,0,0,0,0,3,0,1
Tabbatha,Haymes,2,0,2,0,2,1,0,0,1,3,1,1
Jackie,Lipson,2,0,3,4,3,0,1,1,1,1,1,3
Collen,Oscar,1,1,3,1,3,0,1,1,0,2,0,0
Rosene,Genna,3,1,3,2,0,1,0,0,0,0,0,3
Candy,Warthman,3,2,2,4,1,0,1,1,1,3,0,2
Kamilah,Sidonius,1,1,3,2,2,0,1,1,1,3,1,2
Karolina,Strephon,2,2,0,4,3,1,1,0,1,2,0,2
Nessie,Yate,2,2,1,1,2,0,0,1,0,3,1,1
Riannon,Grayce,4,1,0,3,1,1,1,0,1,0,1,2
Shaine,Creamer,2,3,0,0,2,1,0,0,0,1,1,2
Madeleine,Klotz,2,1,3,0,3,1,0,0,0,2,0,1
Winifred,Astra,4,0,2,2,0,0,1,1,0,1,0,2
Marcy,Nedrud,0,3,0,1,4,0,0,1,1,3,1,3
Ivett,Goddard,2,0,1,2,2,1,0,0,0,1,1,1
Margalo,Madox,4,1,0,3,4,0,0,1,1,2,0,3
Janenna,Jethro,1,3,3,4,0,1,1,0,1,3,0,1
Beth,Erich,4,3,3,4,2,1,0,1,1,0,0,1
Dari,Bach,4,2,3,1,1,1,0,1,1,3,0,2
Roxane,Cleavland,2,3,1,3,2,1,1,0,0,3,1,2
Odessa,Vorster,1,3,1,0,0,1,0,1,0,0,0,3
Marleah,Bandeen,1,1,3,4,1,0,0,1,0,3,0,0
Carol-Jean,Valerio,1,3,2,4,0,0,0,0,0,3,0,3
Tilly,Rozanna,0,2,0,2,1,0,0,1,0,3,0,1
Vivia,Ophelia,0,1,2,3,4,1,0,1,0,3,0,1
Christal,Weide,3,1,2,3,4,1,0,1,0,1,1,0
Zia,Morgun,1,2,3,2,2,0,0,1,1,3,1,1
Nataline,Dalli,3,0,3,1,4,1,0,0,1,3,1,3
Vanessa,Dreda,0,1,1,1,4,1,1,1,0,3,0,2
Kittie,Vernier,0,3,1,3,2,0,0,0,0,3,0,2
Linzy,Shelba,1,2,3,2,0,0,0,0,1,3,1,1
Kittie,Carolin,4,3,1,0,2,1,0,0,0,0,0,2
Sharai,Afton,1,3,0,0,2,0,0,1,0,3,0,3
Cordi,Carvey,0,3,2,0,0,0,0,0,1,2,1,0
Mary,McAdams,2,1,0,0,2,0,1,0,1,2,1,3
Ann-Marie,Alrich,4,3,3,4,3,0,1,1,1,3,1,1
Roz,Bartlett,0,0,3,1,4,0,1,1,0,2,1,0
Dorene,Maples,0,3,0,3,3,1,0,1,1,0,0,1
Dulce,Braun,3,3,1,4,3,1,0,0,0,3,0,2
Fernande,Remmer,1,2,2,3,2,0,0,1,0,3,0,3
Vonny,Peonir,1,1,2,4,1,1,1,0,0,3,0,3
Arlina,Felecia,4,2,3,0,1,0,1,1,0,0,1,3
Lexine,Clie,3,1,2,1,4,1,0,0,1,0,0,2
Linzy,Screens,2,1,1,2,1,0,1,1,1,3,0,0
Jenda,Radu,0,1,0,1,3,1,1,0,1,0,0,1
Vanessa,Lowry,0,0,2,1,3,0,0,1,0,2,1,1
Tori,Ammann,3,3,2,2,4,0,1,1,1,1,1,1
Marinna,Kosey,3,2,0,1,3,0,1,0,0,1,1,1
Mara,Berard,3,2,1,3,3,0,1,0,0,2,0,1
Latisha,Rona,3,3,2,2,0,0,1,1,0,2,0,3
Luci,Henrie,3,2,1,2,3,1,1,0,0,1,1,0
Anica,Quinn,0,3,0,4,0,0,1,0,1,1,1,1
Olwen,Burch,0,2,2,1,2,0,0,0,1,0,0,3
Betta,Mayeda,4,2,1,4,1,0,0,1,1,0,0,0
Kate,Woodberry,1,1,2,4,3,0,1,1,0,2,1,0
Netty,Melleta,1,1,1,1,0,0,0,0,1,3,0,0
Vivia,Ferrell,1,1,0,1,1,0,1,1,1,1,1,1
Kirbee,Noman,3,1,2,3,4,1,0,0,0,3,1,1
Audrie,Tjon,4,3,0,1,0,0,0,1,0,1,0,3
Maud,Grimbly,0,2,2,4,4,0,0,0,1,2,0,2
Christal,Hailee,2,1,1,3,1,1,1,0,1,2,0,3
Lyssa,Colp,0,0,0,2,1,0,0,0,1,2,1,0
Kristan,Shaddock,3,3,1,4,3,1,0,0,1,1,1,0
Brynna,Fry,1,3,2,2,4,0,1,1,0,2,0,0
Fanny,Podvin,3,0,0,3,2,1,0,0,0,1,0,1
Bertine,Cohdwell,0,2,2,2,2,1,1,1,0,1,1,2
Felice,Cookie,3,0,3,4,0,0,1,0,0,0,0,3
Moyna,Thornburg,3,2,3,0,2,0,1,1,1,2,1,0
Lisette,Cyrie,1,0,3,2,1,1,1,1,0,2,0,2
Penelopa,Adore,1,1,0,0,2,1,1,1,1,2,0,3
Corina,Afton,2,2,0,2,2,1,0,0,0,1,0,2
Xylina,Abernon,1,3,2,0,2,0,0,1,1,2,1,3
Bernardine,Rheingold,4,2,3,1,1,1,0,1,1,1,0,1
Konstance,Teddman,0,3,3,4,3,1,0,0,1,0,0,0
Ingrid,Anselmi,0,1,2,1,3,1,0,1,0,2,1,1
Patricia,Emmaline,0,1,1,2,2,1,0,0,1,0,0,1
Merrie,Shaddock,1,0,0,1,4,1,1,0,1,2,1,1
Joy,Madox,2,1,2,1,2,0,0,0,0,3,0,3
Emilia,Tjon,3,3,0,3,2,0,1,0,0,2,0,2
Audrie,Goddard,2,0,0,4,4,0,0,1,0,1,0,2
Ardys,Ricarda,3,3,0,4,4,1,0,0,0,1,0,0
Paola,Delacourt,0,2,0,3,0,0,0,1,1,1,1,0
Anallese,Sophronia,1,3,2,1,0,0,1,1,0,1,1,3
June,Haldas,1,0,3,2,1,0,1,1,1,1,0,0
Elvira,Engdahl,2,2,2,4,2,0,1,0,1,0,0,3
Alex,Cassius,0,1,0,1,1,1,0,0,1,3,0,3
Romona,Daegal,2,2,1,0,0,0,1,1,0,3,0,1
Berta,Payson,1,0,0,4,1,1,0,1,1,3,1,2
Nita,Ax,3,1,0,4,3,0,0,1,1,3,0,2
Deedee,Presber,2,1,0,0,0,1,1,0,1,2,1,1
Steffane,Giff,4,0,2,4,4,1,1,1,1,0,0,2
Maryellen,Stav,3,0,1,2,0,0,1,1,1,2,0,3
Susan,Aloise,0,3,1,4,1,1,1,1,0,3,0,2
Mahalia,Gibbeon,4,3,0,1,2,0,0,0,1,2,0,1
Reeba,Percy,1,0,2,3,3,0,1,1,0,3,0,3
Jere,Erminia,2,2,1,0,3,0,0,0,0,2,0,0
Zia,Ambrosia,0,0,2,3,2,1,1,1,1,2,0,1
Glenda,Fancie,1,3,1,4,4,1,1,1,1,0,0,0
Nerta,Payson,3,3,3,1,0,0,1,0,1,1,0,1
Chastity,Voletta,1,2,1,4,4,0,0,1,1,1,1,0
Sara-Ann,Imelida,0,1,1,3,3,0,0,0,0,0,1,3
Chloris,Francyne,0,3,2,4,4,0,0,1,0,0,1,1
Brana,Meter,0,3,0,0,2,1,1,1,1,2,1,3
Felice,Elo,3,0,0,3,1,1,0,0,0,0,1,2
Charissa,Lindemann,2,0,0,1,4,1,1,1,1,1,0,0
Tatiania,Felizio,4,2,3,4,4,1,1,1,0,2,1,0
Xylina,Alarise,4,0,1,3,3,1,0,0,0,1,1,1
Robbi,Libna,3,2,0,3,1,1,1,1,1,2,1,0
Kelly,Vilma,1,1,0,2,2,0,1,1,0,2,1,1
Wanda,Herrera,0,1,1,0,4,1,1,0,0,0,1,1
Jobi,Frodi,0,1,2,1,0,1,1,0,1,1,1,0
Juliane,Ramona,3,2,0,0,4,1,1,0,0,0,0,0
Ileana,Cleo,1,1,0,1,3,1,1,0,1,0,0,0
Ronna,Nea,3,2,1,0,3,0,1,0,1,3,0,0
Joleen,Brackely,1,3,3,3,1,0,1,1,1,1,0,1
Quintina,Fontana,4,0,2,4,2,0,1,0,0,1,0,2
Katharina,Rolf,2,2,0,3,3,0,0,1,0,2,1,3
Wileen,Maxi,4,2,0,4,1,1,1,0,0,3,1,1
Randa,Firmin,2,0,1,0,3,0,0,1,1,1,0,3
Yolane,Kevon,4,1,2,3,2,1,1,1,0,0,0,0
Ariela,Felizio,2,1,3,4,2,1,0,0,0,0,0,0
Sharai,Sallyann,1,3,1,3,0,0,0,0,0,1,1,3
Sharai,Keily,1,1,2,1,3,1,1,1,1,3,0,1
Sharai,Carolin,4,0,3,0,1,0,1,1,1,3,0,3
Sallie,Allys,1,2,3,3,0,1,1,1,0,2,1,1
Gwyneth,Harned,0,2,0,4,3,0,1,0,0,3,0,2
Selia,Desai,4,2,3,0,0,1,0,1,0,0,1,3
Caryl,Havens,2,0,1,2,1,0,1,0,1,1,1,1
Nadine,Tarrant,4,1,2,3,3,1,1,0,0,3,0,1
Charmaine,Boehike,3,1,1,2,1,0,1,1,1,2,0,2
Tarra,Rhu,2,2,2,3,0,0,1,1,1,2,1,0
Violet,Hubert,0,1,2,1,3,1,0,1,1,3,1,2
Merci,Helve,3,1,3,2,4,0,0,0,0,0,0,1
Nanete,Terencio,1,0,0,2,0,1,0,0,0,1,1,1
Millie,Hewitt,3,2,1,1,1,1,0,1,0,0,1,2
Ann-Marie,Isacco,1,1,1,3,4,0,1,1,1,1,1,2
Albertina,Stav,3,2,3,1,0,1,1,1,1,0,0,1
Donnie,Maples,3,2,0,2,2,1,0,1,1,2,0,2
Cherrita,Pelagias,1,3,1,0,3,1,1,1,1,1,0,1
Miquela,Lamoree,4,2,1,2,2,0,1,1,1,2,0,3
Cassondra,Helve,3,0,1,1,4,1,0,0,1,3,1,1
Nelle,Tybald,3,1,1,0,1,1,1,0,0,3,0,3
Candi,O'Rourke,1,1,3,2,1,0,1,1,0,0,0,3
Rori,Gunn,0,2,2,1,0,1,0,1,1,1,0,0
Shannah,Killigrew,3,1,1,4,3,1,0,0,0,2,0,0
Merrie,Ries,1,2,0,1,0,1,0,0,1,0,1,3
Angelique,Prober,0,3,1,1,2,1,1,1,1,0,1,3
Mara,Thornburg,3,3,3,1,2,0,1,0,0,2,0,0
Hollie,Ludewig,0,0,2,4,1,0,1,1,1,3,0,0
Marcelline,Ailyn,3,1,0,3,3,0,1,0,0,3,1,3
Beth,Kesley,2,3,2,0,4,1,0,0,1,2,0,2
Magdalena,Bates,3,2,2,2,2,1,1,1,0,1,0,0
Merci,Bergman,2,0,1,0,2,1,1,1,0,0,0,2
Helsa,Marcellus,1,0,1,3,2,0,0,1,1,2,1,3
Theodora,Niccolo,3,1,1,3,1,1,1,0,0,3,0,0
Winny,Pearse,0,2,3,0,0,0,1,0,1,2,0,3
Ofilia,Torray,2,2,0,3,4,1,0,0,1,2,0,0
Glynnis,Nicoline,4,2,3,2,4,0,1,0,0,0,1,2
Carilyn,Gaynor,0,1,2,1,4,1,1,0,0,2,0,0
Carol-Jean,Publia,1,2,1,1,1,1,1,1,1,1,1,2
Chloris,O'Neill,2,2,0,3,0,0,1,0,0,0,0,0
Teddie,Kiersten,3,2,1,0,3,0,1,0,1,3,0,2
Tomasina,Atonsah,0,3,2,4,3,0,0,0,0,0,1,1
Madeleine,Helve,2,1,3,4,2,1,0,0,0,0,0,0
Gratia,Ledah,3,0,1,0,2,1,1,1,0,3,1,1
Cyndie,Couture,1,1,3,1,0,0,0,0,0,1,0,3
Sabina,Hylan,1,1,0,1,4,0,1,0,1,2,1,0
Daune,Bennie,2,3,1,2,0,1,1,1,1,0,0,0
Lorie,Sancho,0,0,2,3,4,0,1,0,0,1,1,3
Roseline,Stanwood,1,1,1,3,4,1,0,1,1,0,0,2
Lorenza,Guthrie,4,1,3,2,2,1,0,1,0,0,0,0
Marguerite,Longfellow,1,2,0,2,3,0,1,0,1,0,1,3
Tabbatha,Burch,3,1,1,3,3,0,0,0,1,3,0,3
Esmeralda,Sacken,4,2,0,0,0,1,1,0,0,1,0,3
Alleen,Leler,2,3,1,2,2,1,1,0,0,0,1,3
Belinda,Briney,1,3,1,2,3,1,0,0,0,2,1,3
Calla,Callista,1,2,2,0,2,0,0,0,0,0,0,2
Ezmeralda,Madox,1,2,2,2,2,0,1,0,0,1,1,1
Ashlee,Warthman,3,0,1,3,1,1,0,0,1,2,0,3
Agnese,Dom,4,0,1,3,3,0,0,1,1,2,1,3
Leia,Norrie,2,0,1,0,4,0,1,1,1,0,1,3
Meriel,Edvard,3,1,3,1,3,0,1,0,1,2,1,2
Madalyn,Jarib,4,1,1,3,2,0,0,0,1,1,0,1
Hayley,Philoo,4,0,1,2,0,0,0,1,1,3,1,2
Robinia,Quinn,4,2,3,2,3,0,0,1,0,3,0,0
Gretal,Georas,3,3,3,3,1,0,0,0,0,0,0,3
Dawn,Pip,0,1,3,3,4,0,1,0,0,0,0,3
Jorry,Denis,1,2,1,2,1,1,0,0,0,2,0,2
Corry,Flita,3,2,3,4,3,0,1,0,0,0,1,3
Gusella,Candy,2,2,1,0,2,0,1,0,1,3,1,1
Annora,Macey,4,0,2,4,2,1,0,1,1,0,1,3
Petronia,Seligman,0,3,0,2,1,0,0,0,1,3,0,3
Ariela,Francyne,2,0,0,1,0,1,0,0,0,0,1,0
Arlena,Abbot,4,1,0,0,1,0,0,1,1,0,0,2
Mireielle,Olnee,3,3,1,4,1,1,1,0,0,1,1,0
Fredericka,Virgin,1,1,0,0,4,1,0,0,0,3,0,2
Mireielle,Korey,1,0,0,0,3,0,0,1,0,3,0,3
Sophia,Croix,4,3,3,0,1,1,0,1,0,0,0,1
Karlee,Mullane,2,2,3,4,2,1,0,0,1,1,1,3
Benita,Behre,0,0,3,1,1,1,1,1,1,3,1,0
Kathi,Taam,0,2,2,0,0,0,1,0,1,2,0,1
Kate,Ashely,0,0,2,1,1,0,1,0,0,3,1,0
Tracey,Roxanna,2,1,0,2,2,0,1,0,0,0,1,2
Damaris,Wadell,4,0,1,3,2,0,1,0,1,1,1,3
Alejandra,Sinegold,4,3,3,0,2,0,0,1,0,1,1,1
Dyann,Hermes,1,0,0,0,1,1,0,0,0,1,1,1
Magdalena,Nahum,1,2,1,3,2,0,0,1,1,1,1,3
Kassey,Esmaria,0,2,3,0,4,1,1,0,0,1,0,2
Cherilyn,Edmund,4,3,1,4,2,1,0,0,0,0,0,3
Rebeca,Fennessy,0,0,2,1,2,0,1,0,1,2,0,2
Rosabelle,Jess,2,0,0,2,4,1,0,0,1,0,1,3
Nelle,Ashely,0,0,1,0,3,0,0,0,0,0,1,1
Daphne,Buttaro,0,3,0,4,4,0,1,0,1,1,0,0
Clementine,Palocz,4,1,2,4,0,0,1,1,0,3,0,1
Carlie,Whiffen,3,0,0,1,3,0,1,0,1,3,0,2
Kial,Frodi,2,1,1,0,1,0,0,1,0,0,1,0
Phylis,Ludewig,0,0,1,1,1,1,0,1,0,3,1,0
Cathyleen,Ricki,2,0,0,2,2,0,0,1,0,3,1,0
Etta,Giule,0,1,3,4,4,0,1,0,1,2,1,1
Wileen,Belanger,3,2,1,4,4,0,1,0,1,0,1,3
Mallory,Hachmin,4,1,1,0,2,0,0,0,0,2,1,2
Frank,Firmin,1,3,3,4,0,0,1,1,1,2,0,2
Nickie,Allys,4,0,0,2,3,1,1,1,1,2,1,0
Charlena,Emerson,2,3,0,1,0,0,0,0,1,2,1,1
Corly,Cullin,4,3,3,0,0,0,0,0,0,0,1,3
Chastity,McClimans,0,2,3,1,3,0,1,1,1,0,0,1
Claresta,Sherfield,2,3,2,1,3,0,0,0,0,0,0,3
Sara-Ann,Krystle,0,0,2,4,1,1,0,0,1,1,1,0
Cindelyn,Gilbertson,3,0,2,1,0,0,0,1,0,0,0,0
Britte,Cassius,4,0,0,1,2,0,1,1,1,1,0,1
Janis,Hanleigh,4,0,2,3,2,1,1,0,0,2,0,3
Imojean,Randene,4,3,3,4,1,0,1,1,1,2,0,1
Brena,Hortensia,3,0,1,0,2,0,0,1,1,1,1,3
Dari,Syd,0,0,1,1,4,1,1,1,0,1,1,2
Heddie,Erich,1,2,0,1,0,1,1,1,0,0,0,3
Andeee,Elsinore,4,0,2,2,0,1,0,0,1,2,1,1
Elyssa,Reneta,2,1,3,1,1,0,1,1,0,0,1,1
Margette,Havens,2,2,3,3,3,1,1,1,0,3,1,1
Georgetta,Cullin,1,3,3,3,1,1,0,1,0,2,1,1
Carmela,Urias,3,1,1,4,0,1,0,1,1,3,0,2
Lexine,Isidore,3,2,1,2,1,1,1,1,0,2,0,1
Peri,Ingra,3,2,0,4,4,0,1,0,0,2,0,1
Peri,Kolnick,2,2,3,0,3,1,0,0,1,3,1,2
Kathi,Noam,4,1,2,2,2,0,0,0,0,1,1,0
Daphne,Dash,2,0,3,2,2,0,1,0,0,0,0,2
Ezmeralda,Allina,0,0,3,4,3,0,1,1,1,2,1,0
Carmencita,Cath,4,2,1,3,4,0,1,0,1,2,1,1
Alie,Hermes,4,1,2,1,2,0,1,1,1,0,1,2
Evita,Seagraves,1,0,3,4,3,1,0,0,0,2,0,1
Allyce,Wu,0,0,1,0,3,1,1,1,1,2,1,0
Perry,Cecile,3,0,0,2,1,0,1,1,0,3,1,3
Anestassia,Seumas,1,1,0,2,2,0,0,1,1,3,1,1
Patricia,Sigfrid,0,1,3,2,2,0,0,0,1,2,0,1
Silvana,Cyrie,1,0,2,2,4,1,1,1,1,3,0,2
Joleen,Lucienne,2,3,3,4,3,0,1,0,1,0,1,0
Tybie,Myrilla,3,1,0,0,0,0,1,1,1,3,0,2
Andree,Olin,2,2,3,3,0,1,1,1,0,3,1,2
Ericka,Fosque,0,2,2,4,4,1,0,1,1,1,0,2
Sissy,Middleton,0,0,0,1,4,1,0,0,1,3,0,0
Anthia,Warthman,3,3,1,0,1,0,0,1,0,3,1,2
Mildrid,Artie,2,0,1,0,1,1,0,0,1,0,1,3
Annora,Nester,3,3,3,0,4,0,1,0,1,0,0,0
Thalia,Read,4,0,3,2,4,1,1,1,1,3,1,2
Elvira,Liebermann,1,3,1,1,4,0,0,0,0,1,0,0
Noelle,Waite,2,0,1,3,1,0,0,0,1,3,1,0
Elise,Daegal,0,0,1,3,3,1,1,1,0,1,0,3
Tami,Doig,2,1,3,4,4,0,1,1,0,1,0,2
Lynde,Carmena,0,2,3,4,0,0,0,0,0,0,0,1
Lexine,Gino,2,0,2,3,3,0,0,0,1,3,1,2
Mathilda,Shirberg,3,0,3,3,1,0,1,0,1,2,1,1
Marinna,Madaih,2,2,2,1,1,0,1,0,0,0,0,3
Eadie,Heisel,4,1,2,0,1,1,0,1,1,3,0,1
Mureil,Karylin,4,0,2,3,2,1,1,1,0,3,0,2
Amalie,Sprage,2,3,1,1,1,1,0,1,1,3,1,1
Benita,Sherrie,0,2,2,4,4,1,0,1,0,1,1,2
Diena,Lynn,4,0,1,1,3,0,1,0,0,0,1,1
Isa,Gunn,2,3,2,2,3,1,1,1,0,2,0,1
Myriam,Goerke,0,0,2,1,0,1,0,0,0,0,1,3
Riannon,Telfer,4,3,0,2,0,0,0,1,1,3,0,1
Lelah,Nunci,3,0,0,3,4,0,1,1,1,0,0,0
Moyna,LaRue,0,1,0,4,3,0,1,0,0,2,0,3
Priscilla,Himelman,4,1,0,2,2,1,0,1,1,1,0,1
Phylis,Hartnett,4,1,3,1,2,1,0,0,1,1,0,0
Karlee,Selway,3,0,3,4,4,1,0,0,1,1,1,0
Dorthy,Sidonius,1,0,1,4,2,1,1,1,0,0,0,1
Mady,Daniele,2,2,0,4,4,1,1,1,1,1,0,2
Frieda,Trinetta,2,3,1,3,3,0,0,1,1,0,0,0
Violet,Emmy,0,0,2,4,2,0,0,1,0,3,0,3
Annaliese,Felecia,2,2,2,2,4,0,1,1,1,3,1,2
Dulce,Forrer,1,1,1,4,2,1,1,1,0,2,0,3
Ana,Deegan,4,0,0,0,3,0,0,1,1,3,1,1
Raf,Delacourt,2,3,1,2,0,1,0,0,0,2,1,1
Shandie,Paton,1,2,0,3,4,0,0,0,1,1,0,2
Jany,Raychel,0,3,3,4,3,1,0,1,1,1,0,1
Marline,Serilda,1,3,3,2,3,0,0,0,1,3,0,1
Courtnay,Hanshaw,4,1,0,1,3,0,0,1,0,0,1,1
Ebonee,Flita,0,3,0,4,4,0,0,1,0,0,1,2
Marinna,Rurik,1,0,3,0,0,1,0,0,1,2,1,0
Ginnie,Raseda,1,1,0,0,4,0,0,1,0,0,1,2
Gwyneth,Alarise,4,3,2,2,1,1,1,0,0,1,0,0
Livvyy,Tristram,2,1,3,1,1,0,0,1,1,3,0,1
Bernardine,Sherfield,2,2,2,2,0,0,1,0,1,2,0,1
Dominga,Blake,4,0,3,3,1,1,0,0,0,3,0,0
Aigneis,Turne,1,2,3,2,3,0,0,0,1,3,0,3
Jacenta,Ovid,1,3,1,3,4,1,1,1,0,0,0,3
Carlie,Ralfston,1,1,1,3,0,1,0,1,1,0,1,2
Cacilie,Konyn,4,2,2,1,4,1,0,1,0,2,0,0
Agathe,Hilbert,1,1,3,0,2,1,1,1,1,0,1,0
Priscilla,Lytton,2,1,2,1,0,1,1,1,0,0,0,2
Lonnie,Lail,4,1,1,0,4,1,0,0,1,1,1,0
Charlena,Chabot,0,2,0,2,3,1,0,1,0,2,1,2
Xylina,Turne,0,0,2,4,0,1,0,0,1,1,0,3
Cyb,Rebecka,4,3,0,4,0,0,0,0,1,1,0,2
Quintina,Lumbard,3,1,3,4,0,0,0,1,1,3,1,1
Dorthy,Llovera,0,3,2,4,2,1,0,1,1,3,0,0
Wileen,Raychel,2,1,1,2,4,1,1,1,1,0,0,0
